"data";"1THB";"1USD";"1AUD";"1HKD";"1CAD";"1NZD";"1SGD";"1EUR";"100HUF";"1CHF";"1GBP";"1UAH";"100JPY";"1CZK";"1DKK";"100ISK";"1NOK";"1SEK";"1HRK";"1RON";"1BGN";"1TRY";"1ILS";"100CLP";"1PHP";"1MXN";"1ZAR";"1BRL";"1MYR";"1RUB";"10000IDR";"100INR";"100KRW";"1CNY";"1XDR"
2016-01-04;0,1087;3,9281;2,8349;0,5068;2,8247;2,6577;2,7609;4,2935;1,3597;3,9526;5,8083;0,1635;3,3049;0,1588;0,5753;3,0364;0,4443;0,4673;0,5618;0,9508;2,1952;1,333;1,0051;0,5543;0,0834;0,2263;0,2519;0,9919;0,9042;0,0535;2,8232;5,9078;0,3305;0,6026;5,4649
2016-01-05;0,1109;4,0073;2,8763;0,517;2,8769;2,6858;2,814;4,3176;1,369;3,9792;5,8779;0,1666;3,3658;0,1597;0,5786;3,0535;0,449;0,468;0,5651;0,9541;2,2076;1,3425;1,0211;0,5591;0,0854;0,231;0,2559;0,9917;0,9221;0,0546;2,8908;6,0131;0,3365;0,6146;5,4974
2016-01-07;0,1105;4,0085;2,8167;0,517;2,8402;2,6606;2,7908;4,3475;1,3771;3,9979;5,843;0,1663;3,4102;0,1609;0,5829;3,0714;0,4485;0,4688;0,5691;0,9603;2,2228;1,3288;1,0171;0,561;0,0851;0,2269;0,249;0,9917;0,9113;0,053;2,878;5,9965;0,334;0,6102;5,5836
2016-01-08;0,1101;3,9963;2,807;0,5152;2,8338;2,6481;2,7803;4,3457;1,3782;3,9922;5,8449;0,1662;3,3784;0,1608;0,5827;3,0712;0,4502;0,4698;0,5685;0,9602;2,2219;1,3367;1,0178;0,5538;0,0847;0,2248;0,2497;0,9879;0,91;0,0542;2,8707;5,9879;0,3326;0,6063;5,5354
2016-01-11;0,1105;4,0085;2,8101;0,5167;2,8395;2,6352;2,7945;4,3635;1,3802;4,0159;5,8402;0,1709;3,4014;0,1614;0,5849;3,0881;0,4514;0,4709;0,571;0,9638;2,231;1,3287;1,0231;0,5508;0,085;0,2247;0,2431;0,9959;0,9148;0,0532;2,889;6,0078;0,3329;0,6095;5,5617
2016-01-12;0,1106;4,017;2,807;0,5179;2,8245;2,6314;2,7951;4,3621;1,372;4,017;5,8223;0,1732;3,4131;0,1614;0,5847;3,0838;0,4512;0,4713;0,5698;0,9623;2,2303;1,3255;1,0215;0,5489;0,0849;0,2254;0,2408;0,9908;0,9119;0,0527;2,8885;6,0076;0,332;0,6111;5,5511
2016-01-13;0,1105;4,0068;2,8138;0,5163;2,8189;2,6298;2,793;4,3345;1,3739;3,9782;5,7963;0,1725;3,3875;0,1604;0,581;3,0654;0,4523;0,4685;0,5655;0,9574;2,2162;1,3276;1,0172;0,5489;0,0845;0,2249;0,243;0,9952;0,9151;0,0524;2,8974;5,9952;0,333;0,6093;5,5287
2016-01-14;0,1101;3,999;2,7728;0,5143;2,7842;2,5894;2,7777;4,3605;1,3796;3,98;5,7492;0,167;3,3927;0,1614;0,5843;3,0794;0,4526;0,4689;0,5684;0,9605;2,2295;1,3211;1,0138;0,5499;0,0837;0,2229;0,2412;0,9951;0,9086;0,0523;2,8753;5,9495;0,3289;0,6068;5,5634
2016-01-15;0,1112;4,0411;2,7832;0,5188;2,7844;2,5895;2,8058;4,4075;1,3985;4,0284;5,8085;0,166;3,4408;0,1631;0,5906;3,1159;0,4575;0,4723;0,575;0,9719;2,2536;1,331;1,0254;0,5603;0,0845;0,2242;0,2435;1,007;0,9139;0,0524;2,9089;5,9726;0,3323;0,6136;5,6037
2016-01-18;0,1133;4,1133;2,8292;0,5276;2,8351;2,6562;2,8566;4,4835;1,4201;4,0945;5,88;0,1662;3,5064;0,166;0,6007;3,163;0,4643;0,4795;0,5851;0,9888;2,2924;1,3533;1,0386;0,5628;0,0861;0,2259;0,2449;1,0166;0,9342;0,0523;2,9523;6,074;0,3396;0,6253;5,6836
2016-01-19;0,1128;4,0917;2,8331;0,5241;2,8287;2,651;2,8525;4,449;1,4121;4,0617;5,8555;0,1657;3,4727;0,1646;0,5961;3,1442;0,4628;0,4778;0,5805;0,9821;2,2747;1,3533;1,0356;0,5607;0,086;0,2263;0,2462;1,0085;0,9391;0,0522;2,948;6,0526;0,3395;0,6219;5,6399
2016-01-20;0,1127;4,0877;2,8057;0,5227;2,7921;2,6058;2,8397;4,4659;1,4168;4,0822;5,798;0,1662;3,5023;0,1652;0,5984;3,1528;0,4625;0,4778;0,5824;0,9853;2,2834;1,3417;1,0277;0,5611;0,0855;0,222;0,2432;1,0059;0,9327;0,0512;2,9286;6,0135;0,3365;0,6212;5,6737
2016-01-21;0,114;4,1303;2,8588;0,5286;2,8538;2,654;2,8708;4,4987;1,4306;4,1084;5,8581;0,1686;3,5341;0,1663;0,6028;3,1748;0,4629;0,4805;0,5868;0,9924;2,3002;1,3571;1,0391;0,5684;0,0864;0,2224;0,2467;1,0067;0,9447;0,049;2,9696;6,0781;0,3406;0,6296;5,7021
2016-01-22;0,1138;4,1031;2,8789;0,5264;2,8893;2,6614;2,8744;4,446;1,4216;4,0644;5,8608;0,1654;3,4714;0,1645;0,5958;3,1443;0,4687;0,4793;0,5797;0,9821;2,2732;1,3605;1,0333;0,5647;0,086;0,2214;0,2486;0,9878;0,9582;0,0512;2,963;6,0618;0,343;0,6237;5,6391
2016-01-25;0,1148;4,1346;2,8876;0,5304;2,9128;2,6848;2,891;4,472;1,432;4,0775;5,8955;0,1667;3,4918;0,1655;0,5993;3,1593;0,4707;0,482;0,5829;0,9883;2,2865;1,3738;1,0385;0,5777;0,0864;0,2231;0,2509;1,0098;0,9709;0,0524;2,9804;6,102;0,3455;0,6284;5,7067
